FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
2010/12/31,OBL,O3,,0.004,0.000,0.000,0.006,0.010,0.011,0.011,0.010,0.012,0.019,0.031,0.038,0.068,0.075,0.091,0.087,0.074,0.069,0.046,0.018,0.018,0.016,0.019,0.020
2010/12/31,OBL,PM10,,83.6,75.0,76.9,96.8,73.1,77.4,95.0,94.5,131.6,116.0,109.3,86.3,83.2,50.5,64.3,39.8,51.3,30.3,43.4,81.6,71.0,114.6,268.6,299.7
2010/12/31,OBL,SO2,,0.008,0.006,0.003,0.002,0.001,0.002,0.004,0.004,0.006,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.007,0.014,0.015
2010/12/31,TLA,CO,,3.1,3.1,3.1,3.3,3.7,3.7,4.5,5.7,5.3,3.6,2.7,2.7,2.4,2.4,2.3,2.3,2.4,2.4,2.6,2.9,4.0,6.9,9.6,13.9
2010/12/31,TLA,NO,,0.074,0.090,0.074,0.095,0.093,0.104,0.195,0.216,0.178,0.043,0.018,0.008,0.010,0.008,0.009,0.006,0.008,0.008,0.015,0.036,0.090,0.180,0.272,0.434
2010/12/31,TLA,NO2,,0.032,0.032,0.029,0.027,0.025,0.025,0.031,0.030,0.036,0.027,0.023,0.021,0.019,0.014,0.012,0.011,0.012,0.015,0.025,0.032,0.037,0.032,0.034,0.040
2010/12/31,TLA,NOX,,0.106,0.122,0.103,0.122,0.117,0.129,0.225,0.245,0.213,0.070,0.041,0.030,0.029,0.021,0.021,0.016,0.020,0.023,0.040,0.068,0.126,0.212,0.305,0.471
2010/12/31,TLA,O3,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.008,0.034,0.056,0.057,0.063,0.057,0.056,0.048,0.042,0.021,0.009,0.003,0.003,0.004,0.009
2010/12/31,TLA,PM10,,70.9,85.7,66.5,55.0,56.2,50.8,78.5,97.0,104.0,132.6,88.3,135.9,79.7,85.3,101.6,66.3,61.3,43.9,42.3,48.8,78.7,136.0,220.4,338.6
2010/12/31,TLA,SO2,,0.005,0.005,0.011,0.005,0.004,0.005,0.011,0.010,0.008,0.009,0.009,0.003,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.006,0.008,0.015,0.020
2010/12/31,VAL,CO,,2.2,2.2,2.1,2.3,2.3,2.4,2.6,2.9,4.2,3.8,3.3,2.7,2.4,2.1,2.1,2.2,2.1,2.1,2.3,2.2,2.4,2.5,2.3,2.2
2010/12/31,VAL,NO,,0.000,0.001,"0,002",0.001,0.001,0.006,0.016,0.044,0.172,0.116,0.071,0.030,0.013,0.003,0.001,0.001,0.001,0.002,0.004,0.005,0.015,0.013,0.007,0.003
2010/12/31,VAL,NO2,,0.020,0.014,0.007,0.022,0.023,0.028,0.031,0.034,0.039,0.051,0.054,0.040,0.027,0.010,0.007,0.009,0.009,0.013,0.026,0.031,0.037,0.038,0.035,0.025
2010/12/31,VAL,NOX,,0.020,0.013,0.006,0.021,0.022,0.033,0.047,0.078,0.212,0.167,0.126,0.070,0.040,0.013,0.008,0.010,0.010,0.014,0.030,0.036,0.052,0.051,0.043,0.028
2010/12/31,VAL,O3,,0.029,0.031,0.046,0.026,0.016,0.012,0.005,0.004,0.006,0.010,0.020,0.034,0.052,0.062,0.064,0.061,0.056,0.050,0.033,0.019,0.011,0.009,0.012,0.028
2010/12/31,VAL,PM10,,50.3,35.7,21.0,20.2,17.7,26.5,34.4,44.3,74.6,93.6,106.9,77.5,55.9,51.8,86.9,83.1,51.2,35.5,33.6,41.1,33.9,43.7,35.0,25.7
2010/12/31,VAL,SO2,,0.002,0.001,0.001,0.002,0.004,0.005,0.004,0.005,0.011,0.013,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.002
2011/01/01,AGU,CO,,2.8,3.3,5.0,5.7,4.5,3.1,3.3,3.0,2.6,2.2,2.4,1.9,1.8,1.8,1.0,0.6,0.6,0.6,0.8,2.2,1.7,2.1,2.9,2.2
2011/01/01,AGU,NO,,0.067,0.080,0.243,0.298,0.192,0.065,0.098,0.060,0.053,0.030,0.031,0.016,0.008,0.007,0.005,0.003,0.002,0.002,0.002,0.048,0.006,0.062,0.105,0.030
2011/01/01,AGU,NO2,,0.046,0.046,0.036,0.036,0.038,0.041,0.035,0.036,0.036,0.039,0.055,0.039,0.035,0.034,0.015,0.007,0.005,0.008,0.023,0.050,0.044,0.040,0.047,0.048
2011/01/01,AGU,NOX,,0.108,0.120,0.256,0.306,0.214,0.101,0.126,0.093,0.086,0.069,0.084,0.057,0.046,0.043,0.025,0.015,0.013,0.015,0.028,0.095,0.052,0.098,0.143,0.077
2011/01/01,AGU,O3,,0.007,0.007,0.007,0.007,0.006,0.005,0.004,0.004,0.007,0.022,0.039,0.064,0.093,0.118,0.074,0.053,0.052,0.052,0.049,0.013,0.016,0.019,0.005,0.004
2011/01/01,AGU,PM10,,45.8,58.7,64.0,75.2,62.2,45.9,40.8,36.0,30.9,22.3,29.8,23.0,31.9,20.0,7.7,7.1,7.3,5.1,19.5,38.9,27.8,18.4,30.5,24.4
2011/01/01,AGU,SO2,,0.003,0.003,0.007,0.008,0.006,0.002,0.002,0.002,0.002,0.003,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.004,0.001
2011/01/01,ATM,CO,,"0,1",0.4,0.7,0.2,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
2011/01/01,ATM,NO,,0.172,0.233,0.243,0.210,0.145,0.125,0.128,0.147,0.096,0.063,0.012,0.006,0.003,0.002,0.003,0.004,0.004,0.006,0.005,0.070,0.079,0.066,0.093,0.070
2011/01/01,ATM,NO2,,0.041,0.042,0.041,0.038,0.036,0.035,0.032,0.032,0.042,0.076,0.042,0.017,0.017,0.020,0.027,0.017,0.013,0.018,0.031,0.045,0.046,0.044,0.041,0.038
2011/01/01,ATM,NOX,,0.213,0.275,0.284,0.249,0.182,0.160,0.161,0.180,0.139,0.140,0.055,0.024,0.020,0.023,0.031,0.022,0.018,0.025,0.037,0.116,0.126,0.111,0.134,0.109
2011/01/01,ATM,O3,,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.006,0.036,0.049,0.071,0.096,0.111,0.065,0.048,0.037,0.027,0.003,0.001,0.001,0.000,0.000
2011/01/01,ATM,PM10,,66.1,61.1,59.7,52.0,40.7,51.1,46.5,51.4,41.1,47.3,33.3,6.3,3.0,4.5,9.8,8.6,6.5,8.2,21.4,25.4,31.8,19.1,17.4,13.3
2011/01/01,ATM,SO2,,0.013,0.011,0.009,0.010,0.011,0.012,0.011,0.008,0.006,0.005,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.005,0.005
2011/01/01,CEN,CO,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
2011/01/01,CEN,NO,,0.523,0.512,0.492,0.532,0.536,0.531,0.436,0.095,0.191,0.031,0.016,0.009,0.008,0.007,0.008,0.007,0.008,0.008,0.009,0.011,0.013,0.109,0.221,0.300
2011/01/01,CEN,NO2,,0.051,0.052,0.049,0.046,0.052,0.058,0.052,0.037,0.052,0.049,0.048,0.030,0.025,0.027,0.027,0.020,0.018,0.021,0.040,0.048,0.048,0.050,0.049,0.049
2011/01/01,CEN,NOX,,0.533,0.534,0.527,0.534,0.534,0.534,0.451,0.127,0.242,0.072,0.054,0.030,0.023,0.024,0.023,0.015,0.014,0.017,0.037,0.049,0.051,0.154,0.267,0.347
2011/01/01,CEN,O3,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.022,0.047,0.064,0.085,0.094,0.066,0.038,0.032,0.019,0.003,0.003,0.002,0.002,0.002
2011/01/01,CEN,PM10,,97.2,5.7,180.8,352.6,390.6,408.3,417.2,98.6,231.8,181.9,254.2,51.2,0.3,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
2011/01/01,CEN,SO2,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
2011/01/01,LDO,CO,,3.3,3.1,3.7,3.3,2.9,2.9,3.4,3.9,4.6,2.8,2.2,1.9,2.4,2.1,1.6,1.5,1.6,2.1,3.1,3.7,3.9,3.7,3.2,2.2
2011/01/01,LDO,NO,,0.083,0.037,0.066,0.042,0.033,0.056,0.076,0.097,0.132,0.041,0.031,0.030,0.029,0.029,0.028,0.029,0.031,0.031,0.055,0.101,0.085,0.075,0.082,0.046
2011/01/01,LDO,NO2,,0.035,0.028,0.033,0.030,0.026,0.022,0.022,0.027,0.031,0.028,0.017,0.015,0.015,0.015,0.011,0.010,0.013,0.015,0.037,0.047,0.043,0.041,0.039,0.036
2011/01/01,LDO,NOX,,0.118,0.065,0.099,0.072,0.059,0.078,0.097,0.123,0.163,0.069,0.047,0.045,0.044,0.044,0.039,0.038,0.043,0.045,0.091,0.148,0.128,0.116,0.121,0.081
2011/01/01,LDO,O3,,0.009,0.011,0.009,0.009,0.010,0.014,0.015,0.011,0.011,0.025,0.048,0.064,0.083,0.094,0.104,0.067,0.057,0.042,0.015,0.008,0.008,0.008,0.008,0.007
2011/01/01,LDO,PM10,,148.3,62.3,78.8,61.9,42.5,41.0,77.6,135.4,125.4,135.2,108.7,86.4,60.7,62.2,80.7,70.0,45.6,50.5,76.5,88.5,100.7,70.3,93.7,73.0
2011/01/01,LDO,SO2,,0.008,0.006,0.006,0.006,0.005,0.006,0.006,0.007,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.004,0.006,0.008,0.007,0.007,0.008,0.006
2011/01/01,MIR,CO,,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.
2011/01/01,MIR,NO,,0.241,0.104,0.129,0.196,0.199,0.190,0.184,0.153,0.180,0.070,0.019,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.012,0.020,0.056,0.071,0.101,0.109
2011/01/01,MIR,NO2,,0.046,0.043,0.039,0.038,0.038,0.045,0.046,0.037,0.061,0.084,0.050,0.030,0.026,0.024,0.016,0.012,0.012,0.016,0.033,0.046,0.048,0.048,0.046,0.046
2011/01/01,MIR,NOX,,0.287,0.146,0.168,0.233,0.237,0.234,0.229,0.189,0.241,0.155,0.070,0.033,0.028,0.024,0.017,0.012,0.012,0.018,0.045,0.066,0.104,0.119,0.147,0.155
2011/01/01,MIR,O3,,0.001,0.002,0.002,0.002,0.002,0.004,I.F.,0.000,0.000,0.001,0.020,0.064,0.088,0.100,0.066,0.047,0.043,0.036,0.011,0.002,0.000,0.001,"0,002","0,002"
2011/01/01,MIR,PM10,,308.5,207.7,193.3,198.5,169.0,443.6,427.8,187.9,290.2,220.3,48.3,21.1,17.8,31.9,28.8,9.2,2.8,4.1,20.3,31.5,33.3,69.7,157.5,163.2
2011/01/01,MIR,SO2,,0.038,0.029,0.030,0.032,0.031,0.035,0.036,0.025,0.031,0.024,0.015,0.010,0.008,0.006,0.004,0.003,0.002,0.002,0.005,0.007,0.010,0.014,0.017,0.019
2011/01/01,OBL,CO,,7.2,5.1,3.9,4.0,3.9,4.1,2.4,2.4,1.0,0.1,1.0,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.8,1.5,1.3,3.6,4.1
2011/01/01,OBL,NO,,0.255,0.161,0.116,0.111,0.135,0.130,0.058,0.060,0.025,0.006,0.010,0.006,0.006,0.003,0.003,0.003,0.001,0.001,0.000,0.013,0.035,0.032,0.129,0.156
2011/01/01,OBL,NO2,,0.036,0.036,0.031,0.030,0.030,0.032,0.026,0.025,0.021,0.013,0.036,0.013,0.013,0.014,0.019,0.016,0.011,0.016,0.023,0.038,0.038,0.037,0.038,0.038
2011/01/01,OBL,NOX,,0.290,0.195,0.147,0.141,0.165,0.162,0.084,0.085,0.046,0.019,0.046,0.019,0.019,0.018,0.022,0.019,0.011,0.017,0.024,0.052,0.073,0.069,0.167,0.193
2011/01/01,OBL,O3,,0.021,0.020,0.017,0.016,0.018,0.021,0.014,0.013,0.015,0.024,0.056,0.064,0.067,0.098,0.134,0.138,0.123,0.100,0.070,0.026,0.014,0.014,0.014,0.011
2011/01/01,OBL,PM10,,386.1,352.7,211.6,170.7,219.7,271.5,135.2,132.6,96.2,38.7,129.6,33.2,19.3,34.3,52.6,51.1,55.2,53.7,62.0,77.8,94.2,55.5,84.8,123.0
2011/01/01,OBL,SO2,,0.019,0.017,0.011,0.010,0.010,0.010,0.006,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.005,0.009,0.012
2011/01/01,TLA,CO,,4.9,2.7,3.7,4.6,4.5,4.4,5.0,3.6,3.5,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.7,1.5
2011/01/01,TLA,NO,,0.228,0.160,0.220,0.265,0.254,0.253,0.276,0.181,0.176,0.026,0.004,0.002,0.001,0.003,0.001,0.002,0.003,0.010,0.017,0.025,0.073,0.097,0.153,0.134
2011/01/01,TLA,NO2,,0.042,0.034,0.034,0.036,0.035,0.034,0.032,0.030,0.049,0.032,0.015,0.013,0.013,0.017,0.012,0.007,0.008,0.014,0.032,0.040,0.042,0.042,0.039,0.037
2011/01/01,TLA,NOX,,0.270,0.193,0.253,0.300,0.287,0.287,0.307,0.211,0.224,0.059,0.019,0.015,0.014,0.019,0.013,0.009,0.012,0.024,0.050,0.065,0.115,0.138,0.192,0.171
2011/01/01,TLA,O3,,0.010,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.027,0.056,0.083,0.100,0.107,0.050,0.047,0.040,0.018,0.008,0.003,0.003,0.003,0.003
2011/01/01,TLA,PM10,,292.2,206.1,283.4,261.5,229.3,228.5,250.1,239.1,246.5,82.8,22.3,21.0,20.6,28.3,45.6,9.1,8.8,11.8,29.4,39.4,45.0,55.2,90.9,96.7
2011/01/01,TLA,SO2,,0.014,0.009,0.010,0.012,0.011,0.010,0.010,0.007,0.007,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.007,0.006
2011/01/01,VAL,CO,,2.8,3.5,3.3,3.4,4.0,3.3,3.3,3.7,4.2,3.5,2.3,1.9,1.8,1.9,1.9,1.6,1.5,1.5,1.6,1.8,1.8,2.4,2.4,2.5
2011/01/01,VAL,NO,,0.055,0.088,0.092,0.097,0.139,0.104,0.095,0.124,0.150,0.073,0.015,0.004,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.045,0.033,0.041
2011/01/01,VAL,NO2,,0.040,0.042,0.040,0.038,0.036,0.035,0.034,0.033,0.048,0.063,0.034,0.021,0.014,0.018,0.019,0.009,0.005,0.006,0.012,0.027,0.025,0.042,0.044,0.041
2011/01/01,VAL,NOX,,0.095,0.130,0.133,0.136,0.175,0.140,0.130,0.158,0.199,0.137,0.050,0.024,0.014,0.018,0.019,0.008,0.004,0.006,0.012,0.027,0.024,0.088,0.076,0.083
2011/01/01,VAL,O3,,0.011,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.007,0.012,0.043,0.082,0.097,0.123,0.133,0.072,0.066,0.063,0.060,0.039,0.034,0.014,0.005,0.005
2011/01/01,VAL,PM10,,56.7,110.8,102.3,97.0,110.3,92.2,88.7,105.9,132.2,114.4,51.7,50.0,31.7,37.6,41.6,22.4,16.6,16.5,33.5,43.1,27.1,32.1,35.7,31.1
2011/01/01,VAL,SO2,,0.004,0.007,0.008,0.007,0.008,0.006,0.005,0.006,0.008,0.009,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.004,0.003,0.002
2011/01/02,AGU,CO,,1.7,0.9,1.4,1.1,1.0,1.3,2.1,2.2,2.8,2.2,2.2,2.0,1.6,1.1,0.9,0.8,0.6,0.6,1.1,2.0,2.4,1.7,1.1,0.8
2011/01/02,AGU,NO,,0.018,0.008,0.022,0.007,0.007,0.032,0.065,0.065,0.116,0.046,0.044,0.035,0.019,0.024,0.013,0.009,0.001,0.002,0.004,0.028,0.050,0.011,0.004,0.002
2011/01/02,AGU,NO2,,0.041,0.026,0.035,0.032,0.029,0.029,0.036,0.037,0.033,0.040,0.044,0.045,0.031,0.029,0.020,0.020,0.010,0.015,0.032,0.043,0.041,0.038,0.023,0.021
2011/01/02,AGU,NOX,,0.060,0.037,0.058,0.042,0.039,0.062,0.098,0.098,0.141,0.084,0.086,0.079,0.051,0.054,0.037,0.032,0.017,0.022,0.039,0.071,0.089,0.051,0.031,0.027
2011/01/02,AGU,O3,,0.006,0.021,0.006,0.011,0.013,0.011,0.003,0.003,0.004,0.014,0.023,0.037,0.047,0.039,0.055,0.067,0.069,0.049,0.024,0.010,0.003,0.007,0.017,0.021
2011/01/02,AGU,PM10,,18.8,8.8,19.3,16.1,10.9,14.6,20.8,26.4,33.0,21.6,21.2,25.1,35.6,38.0,23.7,16.8,8.2,14.6,22.8,45.3,35.4,20.4,16.3,10.7
2011/01/02,AGU,SO2,,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.004,0.005,0.005,0.005,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.001
2011/01/02,ATM,CO,,0.2,0.4,0.1,"0,1","0,1","0,1",0.1,0.9,1.8,1.4,0.1,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",1.7,1.8,1.6,2.1,0.5
2011/01/02,ATM,NO,,0.078,0.086,0.070,0.040,0.017,0.022,0.057,0.100,0.161,0.074,0.024,0.013,0.007,0.009,0.005,0.003,0.001,0.001,0.014,0.109,0.112,0.126,0.107,0.051
